name,mscf,yearmonth,year,month,x,y
OML 100,163794.0364,2021-05,2021,05,7.791762278,3.949775475
OML 100,152430.6757,2021-06,2021,06,7.791762278,3.949775475
OML 100,91735.48494,2021-07,2021,07,7.791762278,3.949775475
OML 100,122204.3246,2021-08,2021,08,7.791762278,3.949775475
OML 100,181387.4872,2021-09,2021,09,7.791762278,3.949775475
OML 100,115270.0417,2021-10,2021,10,7.791762278,3.949775475
OML 100,129231.1053,2021-11,2021,11,7.791762278,3.949775475
OML 100,114745.6863,2021-12,2021,12,7.791762278,3.949775475
OML 100,100730.8184,2022-01,2022,01,7.791762278,3.949775475
OML 100,88973.38735,2022-02,2022,02,7.791762278,3.949775475
OML 100,137860.852,2022-03,2022,03,7.791762278,3.949775475
OML 100,183175.0428,2022-04,2022,04,7.791762278,3.949775475
OML 100,109371.8265,2022-05,2022,05,7.791762278,3.949775475
OML 100,145900.9454,2022-06,2022,06,7.791762278,3.949775475
OML 100,127644.6755,2022-07,2022,07,7.791762278,3.949775475
OML 100,70543.70291,2022-08,2022,08,7.791762278,3.949775475
OML 100,148613.8958,2022-09,2022,09,7.791762278,3.949775475
OML 100,113348.8695,2022-10,2022,10,7.791762278,3.949775475
OML 100,125636.5331,2022-11,2022,11,7.791762278,3.949775475
OML 102,477985.6217,2012-03,2012,03,8.036933576,3.993974349
OML 102,455412.6759,2012-04,2012,04,8.036933576,3.993974349
OML 102,705237.3756,2012-05,2012,05,8.036933576,3.993974349
OML 102,613689.7471,2012-06,2012,06,8.036933576,3.993974349
OML 102,594960.1895,2012-07,2012,07,8.036933576,3.993974349
OML 102,487220.0013,2012-08,2012,08,8.036933576,3.993974349
OML 102,678545.5315,2012-09,2012,09,8.036933576,3.993974349
OML 102,906293.7402,2012-10,2012,10,8.036933576,3.993974349
OML 102,703753.4721,2012-11,2012,11,8.036933576,3.993974349
OML 102,569617.8727,2012-12,2012,12,8.036933576,3.993974349
OML 102,517159.3818,2013-01,2013,01,8.036933576,3.993974349
OML 102,364294.106,2013-02,2013,02,8.036933576,3.993974349
OML 102,796527.2234,2013-03,2013,03,8.036933576,3.993974349
OML 102,688109.5752,2013-04,2013,04,8.036933576,3.993974349
OML 102,776018.6481,2013-05,2013,05,8.036933576,3.993974349
OML 102,913707.3946,2013-06,2013,06,8.036933576,3.993974349
OML 102,560525.305,2013-07,2013,07,8.036933576,3.993974349
OML 102,667752.5835,2013-08,2013,08,8.036933576,3.993974349
OML 102,771035.6803,2013-09,2013,09,8.036933576,3.993974349
OML 102,1191667.735,2013-10,2013,10,8.036933576,3.993974349
OML 102,823046.1781,2013-11,2013,11,8.036933576,3.993974349
OML 102,952462.0912,2013-12,2013,12,8.036933576,3.993974349
OML 102,622513.9721,2014-01,2014,01,8.036933576,3.993974349
OML 102,605150.4003,2014-02,2014,02,8.036933576,3.993974349
OML 102,618696.9026,2014-03,2014,03,8.036933576,3.993974349
OML 102,917182.1186,2014-04,2014,04,8.036933576,3.993974349
OML 102,557979.0894,2014-05,2014,05,8.036933576,3.993974349
OML 102,401836.3628,2014-06,2014,06,8.036933576,3.993974349
OML 102,375410.7372,2014-07,2014,07,8.036933576,3.993974349
OML 102,600202.3923,2014-08,2014,08,8.036933576,3.993974349
OML 102,246596.6909,2014-09,2014,09,8.036933576,3.993974349
OML 102,585922.3,2014-10,2014,10,8.036933576,3.993974349
OML 102,602569.9508,2014-11,2014,11,8.036933576,3.993974349
OML 102,383487.3927,2014-12,2014,12,8.036933576,3.993974349
OML 102,363819.3452,2015-01,2015,01,8.036933576,3.993974349
OML 102,516970.8439,2015-03,2015,03,8.036933576,3.993974349
OML 102,388171.0649,2015-04,2015,04,8.036933576,3.993974349
OML 102,416119.9661,2015-09,2015,09,8.036933576,3.993974349
OML 102,146803.9145,2015-10,2015,10,8.036933576,3.993974349
OML 102,151347.4979,2015-11,2015,11,8.036933576,3.993974349
OML 102,29371.57418,2016-01,2016,01,8.036933576,3.993974349
OML 102,410814.4587,2016-02,2016,02,8.036933576,3.993974349
OML 102,460168.1331,2016-03,2016,03,8.036933576,3.993974349
OML 102,1407640.517,2016-04,2016,04,8.036933576,3.993974349
OML 102,590308.7896,2016-06,2016,06,8.036933576,3.993974349
OML 102,1447417.103,2016-10,2016,10,8.036933576,3.993974349
OML 102,215090.4445,2017-04,2017,04,8.036933576,3.993974349
OML 102,398655.5221,2017-05,2017,05,8.036933576,3.993974349
OML 102,431387.9542,2017-08,2017,08,8.036933576,3.993974349
OML 102,155516.6248,2017-09,2017,09,8.036933576,3.993974349
OML 102,243382.725,2018-01,2018,01,8.036933576,3.993974349
OML 102,704741.0601,2018-02,2018,02,8.036933576,3.993974349
OML 102,47098.24569,2018-03,2018,03,8.036933576,3.993974349
OML 102,53477.32313,2018-04,2018,04,8.036933576,3.993974349
OML 102,120488.9265,2018-05,2018,05,8.036933576,3.993974349
OML 102,315863.0177,2018-07,2018,07,8.036933576,3.993974349
OML 102,422286.9776,2018-08,2018,08,8.036933576,3.993974349
OML 102,60686.07551,2018-11,2018,11,8.036933576,3.993974349
OML 102,32586.98036,2019-01,2019,01,8.036933576,3.993974349
OML 102,958100.7138,2019-02,2019,02,8.036933576,3.993974349
OML 102,255780.2157,2019-05,2019,05,8.036933576,3.993974349
OML 102,70589.3974,2019-06,2019,06,8.036933576,3.993974349
OML 102,996652.3327,2019-09,2019,09,8.036933576,3.993974349
OML 102,62041.36031,2019-10,2019,10,8.036933576,3.993974349
OML 102,24296.30914,2019-11,2019,11,8.036933576,3.993974349
OML 102,1061202.843,2019-12,2019,12,8.036933576,3.993974349
OML 102,37489.50952,2020-01,2020,01,8.036933576,3.993974349
OML 102,416818.9883,2020-02,2020,02,8.036933576,3.993974349
OML 102,539640.0812,2020-03,2020,03,8.036933576,3.993974349
OML 102,88720.6299,2020-06,2020,06,8.036933576,3.993974349
OML 102,111740.5328,2020-08,2020,08,8.036933576,3.993974349
OML 102,377176.7856,2021-09,2021,09,8.036933576,3.993974349
OML 102,9654.950578,2021-10,2021,10,8.036933576,3.993974349
OML 102,165477.3478,2021-12,2021,12,8.036933576,3.993974349
OML 102,291263.9426,2022-10,2022,10,8.036933576,3.993974349
OML 104,79169.79876,2012-03,2012,03,7.545881778,3.944807852
OML 104,67914.51663,2012-04,2012,04,7.545881778,3.944807852
OML 104,144303.0298,2012-05,2012,05,7.545881778,3.944807852
OML 104,60297.51748,2012-06,2012,06,7.545881778,3.944807852
OML 104,49727.00211,2012-07,2012,07,7.545881778,3.944807852
OML 104,97335.09134,2012-08,2012,08,7.545881778,3.944807852
OML 104,241318.6961,2012-09,2012,09,7.545881778,3.944807852
OML 104,192934.5195,2012-10,2012,10,7.545881778,3.944807852
OML 104,116610.4265,2012-11,2012,11,7.545881778,3.944807852
