name,mscf,year-month,year,month
Onshore,23022663.77,2020-04,2020,04
Onshore,24784084.16,2020-05,2020,05
Onshore,18356155.48,2020-06,2020,06
Onshore,10128463.94,2020-07,2020,07
Onshore,13814335.02,2020-08,2020,08
Onshore,4916782.27,2020-09,2020,09
Onshore,12524204.02,2020-10,2020,10
Onshore,17501931.64,2020-11,2020,11
Onshore,20547516.19,2020-12,2020,12
Onshore,21355840.35,2021-01,2021,01
Onshore,15554936,2021-02,2021,02
Onshore,14076204.85,2021-03,2021,03
Onshore,14144666.35,2021-04,2021,04
Onshore,4420001.242,2021-05,2021,05
Onshore,8508862.815,2021-06,2021,06
Onshore,11769740.66,2021-07,2021,07
Onshore,2104346.654,2021-08,2021,08
Onshore,3468399.148,2021-09,2021,09
Onshore,8810689.111,2021-10,2021,10
Onshore,14174016.53,2021-11,2021,11
Onshore,16620798.78,2021-12,2021,12
Onshore,19143347.51,2022-01,2022,01
Onshore,14043792.61,2022-02,2022,02
Onshore,10487955.62,2022-03,2022,03
Onshore,6632651.125,2022-04,2022,04
Onshore,8715103.284,2022-05,2022,05
Onshore,4874754.038,2022-06,2022,06
Onshore,5643378.509,2022-07,2022,07
Onshore,5380819.091,2022-08,2022,08
Onshore,3342455.915,2022-09,2022,09
Onshore,6846526.861,2022-10,2022,10
Onshore,13038670.38,2022-11,2022,11
Onshore,15082518.09,2022-12,2022,12
Onshore,12404488.6,2023-01,2023,01
Onshore,12110024.83,2023-02,2023,02
Onshore,12569392,2023-03,2023,03
Onshore,9463160.737,2023-04,2023,04
Onshore,11546413.88,2023-05,2023,05
Onshore,6218893.926,2023-06,2023,06
Onshore,7813728.963,2023-07,2023,07
Onshore,6195394.264,2023-08,2023,08
Onshore,6858815.018,2023-09,2023,09
Onshore,11891930.54,2023-10,2023,10
